wckts,Area,Pitch,runs
6,15381.23763,bat,221
3,15381.23763,bat,192
3,15381.23763,bat,195
5,17671.45868,bat,257
6,15111.06066,bowl,171
8,19603.53816,bat,193
6,15111.06066,bat,210
4,16336.2818,bat,196
8,15111.06066,bowl,144
6,15111.06066,bowl,177
6,16336.2818,bat,201
5,15167.60933,bat,203
4,17671.45868,bowl,174
7,16663.00743,bat,204
4,17671.45868,bowl,174
6,15111.06066,bowl,171
6,15381.23763,bowl,168
8,15111.06066,bowl,173
2,15111.06066,bat,202
6,19603.53816,bat,208
6,16493.36143,bowl,135
8,15111.06066,bowl,173
4,16663.00743,bat,235
6,16336.2818,bowl,156
9,15167.60933,bowl,171
6,16493.36143,bowl,135
8,15111.06066,bowl,153
6,16493.36143,bat,193
3,15381.23763,bat,220
5,15381.23763,bat,189
6,15381.23763,bowl,168
4,19603.53816,bat,216
5,16964.60033,bat,202
6,15111.06066,bowl,171
5,16336.2818,bowl,163
5,15167.60933,bat,192
3,15381.23763,bat,192
5,16964.60033,bowl,171
5,17671.45868,bat,257
4,16663.00743,bat,235
3,16336.2818,bat,192
8,15381.23763,bat,214
4,15381.23763,bat,191
6,15381.23763,bowl,165
3,16336.2818,bowl,175
3,15381.23763,bat,220
3,15381.23763,bat,220
5,15381.23763,bat,189
6,15111.06066,bowl,171
6,16336.2818,bat,201
6,16336.2818,bowl,174
4,16336.2818,bowl,169
8,15111.06066,bowl,153
8,15111.06066,bowl,173
9,15167.60933,bowl,171
5,15167.60933,bat,203
2,15111.06066,bat,202
4,19603.53816,bat,216
9,16493.36143,bowl,126
7,16663.00743,bat,204
5,15167.60933,bat,203
3,16493.36143,bowl,177
7,16336.2818,bat,191
6,15381.23763,bat,193
6,16336.2818,bowl,156
7,16663.00743,bat,204
5,15111.06066,bat,198
9,19603.53816,bowl,165
8,15111.06066,bowl,144
6,15381.23763,bowl,168
6,19603.53816,bat,208
9,15167.60933,bowl,144
4,15111.06066,bowl,144
3,16493.36143,bowl,177
3,16493.36143,bowl,177
8,15111.06066,bowl,144
9,15381.23763,bat,188
4,16336.2818,bowl,169
6,15111.06066,bowl,171
4,16336.2818,bat,196
5,16336.2818,bat,200
4,16336.2818,bowl,169
6,15381.23763,bowl,165
6,16493.36143,bowl,135
5,17671.45868,bat,191
3,15381.23763,bat,220
4,16663.00743,bat,207
6,15381.23763,bowl,165
6,15111.06066,bowl,177
2,16336.2818,bat,219
2,16336.2818,bat,219
5,15381.23763,bat,218
4,15381.23763,bat,187
7,16336.2818,bat,191
6,15381.23763,bat,193
9,15381.23763,bat,188
6,19603.53816,bat,208
6,16336.2818,bowl,174
6,19603.53816,bat,181
5,15381.23763,bat,218
3,15381.23763,bat,192
9,15167.60933,bowl,171
2,15381.23763,bat,222
6,19603.53816,bat,208
4,16663.00743,bat,207
9,16493.36143,bowl,126
5,16964.60033,bowl,171
6,16336.2818,bat,201
6,15381.23763,bat,221
9,19603.53816,bowl,165
6,15111.06066,bowl,171
6,15381.23763,bat,221
5,16964.60033,bat,202
5,15111.06066,bat,198
8,15111.06066,bowl,173
5,17671.45868,bat,191
9,15167.60933,bowl,144
4,15381.23763,bat,187
7,19603.53816,bowl,159
5,16336.2818,bowl,163
8,15111.06066,bowl,173
8,15111.06066,bowl,153
6,16336.2818,bowl,174
8,19603.53816,bat,193
6,19603.53816,bat,181
6,16336.2818,bowl,165
8,15111.06066,bowl,144
4,16663.00743,bat,228
7,16964.60033,bowl,154
10,16336.2818,bat,185
4,15111.06066,bowl,144
0,19603.53816,bat,210
3,16336.2818,bat,206
7,16336.2818,bowl,161
6,16493.36143,bat,193
4,19603.53816,bat,216
2,15111.06066,bat,202
8,15381.23763,bat,214
8,15111.06066,bowl,144
6,16336.2818,bowl,156
3,16336.2818,bowl,175
7,16336.2818,bowl,126
9,19603.53816,bowl,165
7,16336.2818,bowl,126
3,16493.36143,bowl,177
5,15381.23763,bat,218
5,16336.2818,bowl,164
6,15381.23763,bat,221
2,16336.2818,bat,219
8,15111.06066,bowl,144
4,15381.23763,bat,187
3,16336.2818,bat,192
3,16493.36143,bowl,177
5,17671.45868,bat,191
9,15167.60933,bowl,171
5,17671.45868,bat,191
9,16493.36143,bowl,126
4,19603.53816,bat,192
9,19603.53816,bowl,156
9,15381.23763,bat,188
7,19603.53816,bowl,169
4,19603.53816,bat,192
4,19603.53816,bat,216
4,16663.00743,bat,228
4,16663.00743,bat,235
7,16663.00743,bat,204
5,15167.60933,bat,203
7,16336.2818,bowl,126
6,15381.23763,bat,221
10,16336.2818,bat,185
6,19603.53816,bat,181
4,16663.00743,bat,207
6,15111.06066,bowl,171
10,16336.2818,bat,185
6,16336.2818,bat,201
3,15381.23763,bat,220
4,16336.2818,bowl,169
4,15381.23763,bat,187
3,16336.2818,bowl,175
7,15111.06066,bowl,176
6,15381.23763,bowl,168
2,15111.06066,bat,202
8,15111.06066,bowl,144
